"employeeid","name","surname","email","phonenumber","hiredate","salary","departmentid","isactive","jobtitle","state"
8,"Aditi","Sharma","aditi.sharma@example.com","9959044295","2024-02-21","45000.00",1,True,"Software Engineer","india"
9,"Rohan","Verma","rohan.verma@example.com","9936611664","2024-02-16","50000.00",2,True,"HR Manager","india"
11,"Sameer","Patel","sameer.patel@example.com","9903449744","2024-02-18","35000.00",1,True,"QA Engineer","india"
12,"Kavita","Mehta","kavita.mehta@example.com","9953823663","2024-02-19","40000.00",4,True,"Marketing Executive","india"
14,"Sunita","Yadav","sunita.yadav@example.com","9885975733","2024-02-21","30000.00",5,True,"Administrative Assistant","india"
15,"Vikram","Joshi","vikram.joshi@example.com","9924333768","2024-02-22","65000.00",2,True,"Project Manager","india"
16,"Neha","Kapoor","neha.kapoor@example.com","9951292898","2024-02-23","42000.00",4,True,"Digital Marketing Specialist","india"
17,"Pankaj","Deshmukh","pankaj.deshmukh@example.com","9886572146","2024-02-24","37000.00",1,True,"Software Tester","india"
19,"Ajay","Bansal","ajay.bansal@example.com","9934346072","2024-02-26","59000.00",2,True,"Recruitment Specialist","india"
20,"Rajesh","Nair","rajesh.nair@example.com","9985956222","2024-02-27","64000.00",1,True,"DevOps Engineer","india"
21,"Swati","Iyer","swati.iyer@example.com","9953407995","2024-02-28","33000.00",5,True,"Office Manager","india"
22,"Gaurav","Gupta","gaurav.gupta@example.com","9889460549","2024-02-29","67000.00",2,True,"Sales Manager","india"
24,"Alok","Chauhan","alok.chauhan@example.com","9888127717","2024-03-02","72000.00",3,True,"Senior Consultant","india"
25,"Sakshi","Rao","sakshi.rao@example.com","9942661772","2024-03-03","62000.00",1,True,"Software Architect","india"
26,"Manish","Ghosh","manish.ghosh@example.com","9891554265","2024-03-04","36000.00",4,True,"Graphic Designer","india"
27,"Vandana","Shetty","vandana.shetty@example.com","9954730087","2024-03-05","47000.00",2,True,"HR Executive","india"
28,"Rahul","Bhatt","rahul.bhatt@example.com","9888300864","2024-03-06","55000.00",3,True,"Financial Consultant","india"
29,"Simran","Kapoor","simran.kapoor@example.com","9958894417","2024-03-07","63000.00",1,True,"Senior Software Engineer","india"
30,"Abhinav","Tiwari","abhinav.tiwari@example.com","9901445335","2024-03-08","58000.00",5,True,"Executive Assistant","india"
32,"Meena","Goel","meena.goel@example.com","9893935463","2024-03-10","39000.00",2,True,"HR Specialist","india"
33,"Karan","Batra","karan.batra@example.com","9896822064","2024-03-11","61000.00",3,True,"Data Scientist","india"
34,"Arjun","Desai","arjun.desai@example.com","9902200497","2024-03-12","44000.00",1,True,"Backend Developer","india"
35,"Sanya","Roy","sanya.roy@example.com","9959734819","2024-03-13","48000.00",4,True,"Content Manager","india"
36,"Praveen","Kumar","praveen.kumar@example.com","9920832351","2024-03-14","70000.00",2,True,"Operations Manager","india"
37,"Shruti","Malhotra","shruti.malhotra@example.com","9902417692","2024-03-15","34000.00",5,True,"Administrative Coordinator","india"
38,"Rakesh","Naik","rakesh.naik@example.com","9952447858","2024-03-16","56000.00",1,True,"Mobile App Developer","india"
39,"Rekha","Chatterjee","rekha.chatterjee@example.com","9961899955","2024-03-17","38000.00",3,True,"Business Development Executive","india"
40,"Mohit","Aggarwal","mohit.aggarwal@example.com","9934394244","2024-03-18","66000.00",4,True,"Product Manager","india"
41,"Tara","Pillai","tara.pillai@example.com","9925856321","2024-03-19","35000.00",5,True,"Event Coordinator","india"
42,"Vikas","Trivedi","vikas.trivedi@example.com","9909927927","2024-03-20","54000.00",1,True,"Frontend Developer","india"
43,"Shalini","Anand","shalini.anand@example.com","9930683218","2024-03-21","52000.00",4,True,"PR Manager","india"
